amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha_x,beta,sharpe_ratio_x,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,sharpe_ratio_y,alpha_y,max_drawdown,alpha_rank,expense_rank,dd_rank,return_rank,sharpe_rank,fund_score
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,11.82,11.84,14.14,10.43,1.41,0.91,0.85,1.25,14.0,-27.54,25803,1.64,4,Moderate,7.757782440555658,0.03472206570626613,-0.1440161790933726,38.0,39.5,15.0,31.0,31.0,100.0
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,6.18,5.14,7.95,3.96,1.18,0.43,5.14,8.76,0.5,-3.66,38995,0.79,5,Low,-205.5229767130243,0.061036671298096715,-0.0016224980244717857,33.0,11.0,3.0,40.0,40.0,95.24551831644582
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,5.34,6.07,5.43,4.47,1.6,0.22,1.52,2.11,4.0,-2.3,24101,0.77,5,Low,-57.09699743023478,0.058704140284248356,-0.04328728923970093,34.0,9.0,5.0,38.0,37.0,91.34840218238503
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,10.94,14.84,11.32,14.06,0.78,0.97,1.06,1.7,14.0,-17.41,6434,1.55,5,Moderate,-50.78230102503668,0.03785678824437108,-0.24734440880673303,36.0,32.0,34.0,16.0,35.0,90.25720966484802
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,6.19,5.31,8.71,4.42,0.89,0.37,1.33,2.38,4.0,-2.23,30030,0.55,4,Low,-89.87063589362069,0.0634210583137437,-0.08316361763638702,32.0,1.0,6.0,39.0,38.0,88.38659392049883
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,6.83,7.37,6.41,5.39,1.98,0.44,1.84,2.79,4.0,-6.01,27953,0.56,3,Low,-142.90788779761655,0.04786229021944255,-0.04308263824636349,35.0,2.0,4.0,36.0,39.0,88.07482462977396
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,14.37,12.25,13.42,10.98,1.27,0.93,0.87,1.34,14.0,-17.86,35585,1.59,3,Moderate,124.55667954254322,0.06552481408412969,-0.1757361416468729,30.0,35.0,24.0,28.0,24.0,87.45128604832423
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,16.3,15.61,15.86,14.49,1.12,0.92,0.82,1.21,19.0,-13.43,41728,1.51,5,High,-51.869565179385184,0.006895044716961614,-0.2800112356639287,40.0,24.5,35.0,12.0,36.0,86.59392049883087
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,4.26,6.18,8.26,4.66,1.52,0.47,6.18,9.7,0.5,-3.81,27623,0.6,3,Low,-22.364318646324367,0.06427751215247429,-0.0011629327956168556,31.0,3.0,2.0,37.0,34.0,82.46297739672642
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,13.95,12.14,13.66,10.71,1.43,0.87,0.87,1.54,14.0,-17.4,15866,0.75,4,Moderate,32.66285348508671,0.08708445444670444,-0.21751396370148224,27.0,8.0,31.0,29.0,29.0,79.96882307092751
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,17.12,18.23,17.75,16.32,1.91,1.0,0.96,1.27,19.0,-21.92,47469,1.56,4,High,19.151961707740483,0.0301613726479435,-0.24003511326274884,39.0,33.0,33.0,7.0,30.0,79.9688230709275
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,11.96,12.82,12.35,11.0,1.82,0.91,0.92,1.63,14.0,-21.7,41828,1.54,5,Moderate,116.9374372035604,0.12229028166326371,-0.14844576917771746,23.0,30.5,16.0,25.0,25.0,76.4614185502728
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,8.89,7.68,7.94,5.83,1.85,0.26,7.68,10.37,0.5,-2.62,39116,0.74,5,Low,124.92229502423471,0.06758354513220986,-0.0009773140045925555,29.0,7.0,1.0,35.0,23.0,72.33047544816836
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,13.76,12.1,11.31,11.17,0.93,0.9,0.93,1.29,13.0,-24.42,7350,1.57,4,Moderate,205.90903301205807,0.16370099285838013,-0.1085986215250232,20.0,34.0,7.0,30.0,16.0,71.0833982852689
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,17.43,15.34,15.78,13.55,1.79,1.0,0.96,1.37,16.0,-12.14,17912,1.64,5,Moderately High,156.11843270091168,0.1321195657995199,-0.21539827112383225,22.0,39.5,30.0,13.0,22.0,70.84957131722524
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,10.14,11.77,12.31,9.97,1.8,1.04,0.91,1.24,13.0,-26.75,20284,0.89,5,Moderate,167.5439636343636,0.11225575942328764,-0.1165062450540909,25.0,13.0,10.0,32.0,19.0,69.52455183164457
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,15.63,11.54,11.46,10.88,0.66,0.96,0.82,1.12,14.0,-25.91,36022,1.42,4,Moderate,201.08916036853174,0.18700930948172786,-0.13897862823061635,15.0,20.0,14.0,33.0,17.0,67.18628215120809
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,21.97,20.98,22.62,20.47,0.51,1.0,0.84,1.4,25.0,-14.45,21545,1.38,4,Very High,-19.14533993604688,0.08074468115047156,-0.5167775370852656,28.0,17.0,39.0,4.0,33.0,67.03039750584567
